City,Parameter,Year,Yearly Average (µg/m³),Current yearly limit (µg/m³),2030 yearly limit (µg/m³),Compliance (Yearly Average),Percent Above Current Standards,Percent Above 2030 Standards,Daily limit value (µg/m³),Days above limit value,Current days limit,2030 days limit,Compliance (Days),Flag,Median active sensors,Percent days avaiable
Milano,o3 µg/m³,2025,70.9,Not regualted,Not regulated,Not Applicable,Not Applicable,Not Applicable,120,Not Applicable,25,18,Not Applicable,Medium,4.0,54.25
Napoli,o3 µg/m³,2021,35.88,Not regualted,Not regulated,Not Applicable,Not Applicable,Not Applicable,120,Not Applicable,25,18,Not Applicable,Medium,1.0,74.79
Napoli,o3 µg/m³,2023,63.33,Not regualted,Not regulated,Not Applicable,Not Applicable,Not Applicable,120,Not Applicable,25,18,Not Applicable,Medium,1.0,69.86
Napoli,o3 µg/m³,2024,59.26,Not regualted,Not regulated,Not Applicable,Not Applicable,Not Applicable,120,Not Applicable,25,18,Not Applicable,Medium,3.0,34.79
Napoli,o3 µg/m³,2025,70.5,Not regualted,Not regulated,Not Applicable,Not Applicable,Not Applicable,120,8.7,25,18,Good (Below current limit and also below 2030 limit,Medium,3.0,38.08
Palermo,o3 µg/m³,2024,70.01,Not regualted,Not regulated,Not Applicable,Not Applicable,Not Applicable,120,Not Applicable,25,18,Not Applicable,Medium,2.0,31.51
Palermo,o3 µg/m³,2025,71.87,Not regualted,Not regulated,Not Applicable,Not Applicable,Not Applicable,120,Not Applicable,25,18,Not Applicable,Medium,2.0,6.03
Roma,o3 µg/m³,2021,43.31,Not regualted,Not regulated,Not Applicable,Not Applicable,Not Applicable,120,Not Applicable,25,18,Not Applicable,Medium,6.0,74.52
Roma,o3 µg/m³,2022,50.49,Not regualted,Not regulated,Not Applicable,Not Applicable,Not Applicable,120,Not Applicable,25,18,Not Applicable,High,11.0,95.62
Roma,o3 µg/m³,2023,45.82,Not regualted,Not regulated,Not Applicable,Not Applicable,Not Applicable,120,1.0,25,18,Good (Below current limit and also below 2030 limit,High,12.0,85.48
Roma,o3 µg/m³,2024,41.67,Not regualted,Not regulated,Not Applicable,Not Applicable,Not Applicable,120,1.0,25,18,Good (Below current limit and also below 2030 limit,High,9.0,100.0
Roma,o3 µg/m³,2025,45.54,Not regualted,Not regulated,Not Applicable,Not Applicable,Not Applicable,120,3.7,25,18,Good (Below current limit and also below 2030 limit,High,10.0,100.0
Torino,o3 µg/m³,2021,46.22,Not regualted,Not regulated,Not Applicable,Not Applicable,Not Applicable,120,Not Applicable,25,18,Not Applicable,Medium,2.0,75.34
Torino,o3 µg/m³,2022,55.59,Not regualted,Not regulated,Not Applicable,Not Applicable,Not Applicable,120,Not Applicable,25,18,Not Applicable,Medium,2.0,89.86
Torino,o3 µg/m³,2023,44.4,Not regualted,Not regulated,Not Applicable,Not Applicable,Not Applicable,120,44.3,25,18,Critical (Above current limits and above 2030 limits,Medium,2.0,78.08
Torino,o3 µg/m³,2024,45.54,Not regualted,Not regulated,Not Applicable,Not Applicable,Not Applicable,120,43.7,25,18,Critical (Above current limits and above 2030 limits,Medium,3.0,56.71
Torino,o3 µg/m³,2025,67.09,Not regualted,Not regulated,Not Applicable,Not Applicable,Not Applicable,120,33.0,25,18,Critical (Above current limits and above 2030 limits,Medium,3.0,50.68
Firenze,pm10 µg/m³,2023,24.85,40,20,Problematic (Below current limit but above 2030 limit),Below current standards,24.240481711650517% above 2030 standards,45,13,35,18,Good (Below current limit and also below 2030 limit,Medium,3.0,61.1
Firenze,pm10 µg/m³,2024,25.69,40,20,Problematic (Below current limit but above 2030 limit),Below current standards,28.44083094146843% above 2030 standards,45,7,35,18,Good (Below current limit and also below 2030 limit,Medium,5.0,20.0
Milano,pm10 µg/m³,2024,26.87,40,20,Problematic (Below current limit but above 2030 limit),Below current standards,34.33316651383971% above 2030 standards,45,22,35,18,Problematic (Below current limit but above 2030 limit,Medium,2.0,51.51
Milano,pm10 µg/m³,2025,21.56,40,20,Problematic (Below current limit but above 2030 limit),Below current standards,7.82355814086213% above 2030 standards,45,9,35,18,Good (Below current limit and also below 2030 limit,Medium,2.0,53.97
Napoli,pm10 µg/m³,2021,30.84,40,20,Problematic (Below current limit but above 2030 limit),Below current standards,54.218912069971516% above 2030 standards,45,33,35,18,Problematic (Below current limit but above 2030 limit,Medium,3.0,76.16
Napoli,pm10 µg/m³,2023,26.37,40,20,Problematic (Below current limit but above 2030 limit),Below current standards,31.84197442022796% above 2030 standards,45,11,35,18,Good (Below current limit and also below 2030 limit,Medium,3.0,72.05
Napoli,pm10 µg/m³,2024,28.79,40,20,Problematic (Below current limit but above 2030 limit),Below current standards,43.97421721239105% above 2030 standards,45,19,35,18,Problematic (Below current limit but above 2030 limit,Medium,5.0,42.47
Napoli,pm10 µg/m³,2025,23.47,40,20,Problematic (Below current limit but above 2030 limit),Below current standards,17.325796466391697% above 2030 standards,45,6,35,18,Good (Below current limit and also below 2030 limit,Medium,2.0,40.0
Torino,pm10 µg/m³,2022,24.89,40,20,Problematic (Below current limit but above 2030 limit),Below current standards,24.467327918456093% above 2030 standards,45,16,35,18,Good (Below current limit and also below 2030 limit,Low,1.0,56.99
Torino,pm10 µg/m³,2023,21.38,40,20,Problematic (Below current limit but above 2030 limit),Below current standards,6.9066195080055515% above 2030 standards,45,19,35,18,Problematic (Below current limit but above 2030 limit,Medium,1.0,75.62
Torino,pm10 µg/m³,2024,24.92,40,20,Problematic (Below current limit but above 2030 limit),Below current standards,24.60721530031247% above 2030 standards,45,24,35,18,Problematic (Below current limit but above 2030 limit,Low,1.0,32.6
Torino,pm10 µg/m³,2025,19.06,40,20,Good (Below current limit and also below 2030 limit),Below current standards,Below 2030 standards,45,1,35,18,Good (Below current limit and also below 2030 limit,Low,1.0,34.52
Firenze,pm25 µg/m³,2023,13.37,25,10,Problematic (Below current limit but above 2030 limit),Below current standards,33.69254658385095% above 2030 standards,25,12,Not regualted,18,Good (Below 2030 limit),Low,1.0,57.53
Firenze,pm25 µg/m³,2024,15.31,25,10,Problematic (Below current limit but above 2030 limit),Below current standards,53.13516483516485% above 2030 standards,25,12,Not regualted,18,Good (Below 2030 limit),Medium,2.0,19.18
Milano,pm25 µg/m³,2024,15.44,25,10,Problematic (Below current limit but above 2030 limit),Below current standards,54.41306439025817% above 2030 standards,25,25,Not regualted,18,Problematic (Above 2030 limit),Low,1.0,50.14
Milano,pm25 µg/m³,2025,13.04,25,10,Problematic (Below current limit but above 2030 limit),Below current standards,30.369975598522437% above 2030 standards,25,19,Not regualted,18,Problematic (Above 2030 limit),Low,1.0,52.88
Napoli,pm25 µg/m³,2021,18.14,25,10,Problematic (Below current limit but above 2030 limit),Below current standards,81.3747421076241% above 2030 standards,25,52,Not regualted,18,Problematic (Above 2030 limit),Medium,2.0,76.16
Napoli,pm25 µg/m³,2023,15.48,25,10,Problematic (Below current limit but above 2030 limit),Below current standards,54.828828539125986% above 2030 standards,25,21,Not regualted,18,Problematic (Above 2030 limit),Medium,2.0,71.78
Napoli,pm25 µg/m³,2024,15.84,25,10,Problematic (Below current limit but above 2030 limit),Below current standards,58.41435567392108% above 2030 standards,25,23,Not regualted,18,Problematic (Above 2030 limit),Medium,4.0,42.47
Napoli,pm25 µg/m³,2025,12.24,25,10,Problematic (Below current limit but above 2030 limit),Below current standards,22.379805431546362% above 2030 standards,25,5,Not regualted,18,Good (Below 2030 limit),Medium,2.0,39.45
Torino,pm25 µg/m³,2022,17.67,25,10,Problematic (Below current limit but above 2030 limit),Below current standards,76.73669641631959% above 2030 standards,25,57,Not regualted,18,Problematic (Above 2030 limit),Medium,1.0,64.66
Torino,pm25 µg/m³,2023,14.68,25,10,Problematic (Below current limit but above 2030 limit),Below current standards,46.76096518724584% above 2030 standards,25,42,Not regualted,18,Problematic (Above 2030 limit),Medium,1.0,75.07
Torino,pm25 µg/m³,2024,17.46,25,10,Problematic (Below current limit but above 2030 limit),Below current standards,74.59099451456332% above 2030 standards,25,29,Not regualted,18,Problematic (Above 2030 limit),Low,1.0,32.33
Torino,pm25 µg/m³,2025,10.8,25,10,Problematic (Below current limit but above 2030 limit),Below current standards,7.962469623501467% above 2030 standards,25,4,Not regualted,18,Good (Below 2030 limit),Low,1.0,33.97
