year,city,parameter,station_name,count,mean,std,min,25%,50%,75%,max
2021,Roma,o3 µg/m³,BUFALOTTA,982.0,21.5122199592668,18.569135588224682,0.0,4.0,17.0,36.0,74.0
2021,Roma,o3 µg/m³,CIPRO,7105.0,43.91815622800844,28.777392595304054,2.0,18.0,42.0,66.0,136.0
2021,Roma,o3 µg/m³,IT1176A,5881.0,49.61528651589866,32.99996092489498,2.0,21.0,48.0,74.0,162.0
2021,Roma,o3 µg/m³,IT1835A,5856.0,41.451588114754095,26.77892228873841,2.0,19.0,41.0,61.0,135.0
2021,Roma,o3 µg/m³,IT1906A,5953.0,36.798840920544265,25.842905014408274,2.0,14.0,36.0,55.0,207.0
2021,Roma,o3 µg/m³,IT2012A,6051.0,58.13592794579408,29.648097089618894,2.0,36.0,58.0,79.0,161.0
2021,Roma,o3 µg/m³,L.GO PERESTRELLO,1023.0,19.697947214076247,18.836604704658406,0.0,2.0,14.0,34.0,78.0
2021,Roma,o3 µg/m³,Malagrotta,952.0,35.081932773109244,22.06670913846409,1.0,15.75,34.0,54.0,85.0
2021,Roma,o3 µg/m³,VILLA ADA,5839.0,33.68247987669121,26.32984867845848,0.0,9.0,30.0,54.0,120.0
2021,Roma,pm10 µg/m³,ARENULA,33.0,19.515151515151516,6.991607523136276,8.0,16.0,18.0,25.0,36.0
2021,Roma,pm10 µg/m³,BUFALOTTA,32.0,20.75,8.511851320554525,0.0,16.75,19.0,24.25,39.0
2021,Roma,pm10 µg/m³,C.SO FRANCIA,33.0,22.454545454545453,8.736027805483555,5.0,17.0,20.0,28.0,44.0
2021,Roma,pm10 µg/m³,CIPRO,33.0,20.484848484848484,9.47404748550353,5.0,14.0,17.0,25.0,47.0
2021,Roma,pm10 µg/m³,Fermi,33.0,29.484848484848484,10.040920065291616,13.0,22.0,27.0,36.0,54.0
2021,Roma,pm10 µg/m³,L.GO MAGNA GRECIA,30.0,17.0,8.19166944376188,5.0,12.0,15.0,23.25,40.0
2021,Roma,pm10 µg/m³,L.GO PERESTRELLO,33.0,24.515151515151516,10.38063465100163,9.0,16.0,21.0,30.0,46.0
2021,Roma,pm10 µg/m³,Malagrotta,33.0,18.666666666666668,7.325753658611969,7.0,14.0,17.0,23.0,42.0
2021,Roma,pm10 µg/m³,TIBURTINA,33.0,31.515151515151516,15.309558313601858,10.0,21.0,25.0,43.0,62.0
2021,Roma,pm10 µg/m³,VILLA ADA,33.0,20.03030303030303,8.865258204378653,7.0,14.0,19.0,26.0,50.0
2021,Roma,pm25 µg/m³,ARENULA,33.0,12.757575757575758,5.297583783140569,3.0,8.0,12.0,17.0,23.0
2021,Roma,pm25 µg/m³,C.SO FRANCIA,33.0,12.606060606060606,6.2646797301388135,2.0,9.0,12.0,16.0,28.0
2021,Roma,pm25 µg/m³,CIPRO,32.0,12.46875,6.549978453547422,1.0,7.75,11.0,16.25,30.0
2021,Roma,pm25 µg/m³,Malagrotta,33.0,11.727272727272727,6.2463625778964715,3.0,7.0,10.0,17.0,30.0
2021,Roma,pm25 µg/m³,VILLA ADA,33.0,11.393939393939394,5.049377399364412,5.0,7.0,11.0,15.0,22.0
