city,parameter,station_name,count,mean,std,min,25%,50%,75%,max
Napoli,no2 µg/m³,Portici parco reggia,6735.0,17.83467706013363,16.75590196820609,0.0,4.44,12.0,26.6,82.1
Napoli,no2 µg/m³,Tirrenopower Via Epomeo,6592.0,19.657148058252428,13.215287259628443,0.0,10.275,15.9,25.9,199.0
Napoli,no2 µg/m³,Tirrenopower Volla,6751.0,27.61534735594727,19.16610285764157,0.0,12.9,23.1,38.6,184.0
Napoli,o3 µg/m³,Casoria Scuola Palizzi (CAM),6716.0,54.85476474091722,30.95587596351293,0.21,30.375,58.349999999999994,77.6,548.0
Napoli,o3 µg/m³,IT1497A,16788.0,53.55157016916846,27.83363027144873,0.0,33.3,50.1,71.825,195.0
Napoli,o3 µg/m³,NA01 OSSERVATORIO ASTRONOMICO,6455.0,73.70597676219985,26.430213563299656,0.0,56.3,75.3,92.0,174.0
Napoli,o3 µg/m³,Portici parco reggia,6753.0,59.37847771360877,29.930132663497766,0.25,36.1,62.5,82.0,429.0
Napoli,pm10 µg/m³,IT0898A,17049.0,25.929884450700918,25.853465490012898,0.0,15.3,22.5,31.8,1470.0
Napoli,pm10 µg/m³,NA06 MUSEO NAZIONALE,4318.0,28.15391384900417,49.022412815680646,0.0,15.6,22.9,32.4,2720.0
Napoli,pm10 µg/m³,NA07 ENTE FERROVIE,22401.0,29.500008928172846,23.00206778360043,0.0,17.3,25.7,36.0,984.0
Napoli,pm10 µg/m³,NA09 I.T.I.S. ARGINE,22742.0,46.22537991381585,981.8409714799459,0.0,17.2,25.5,38.1,95600.0
Napoli,pm10 µg/m³,Tirrenopower Via Epomeo,6796.0,20.197751618599174,16.295824129769972,0.0,11.5,16.7,24.7,707.0
Napoli,pm10 µg/m³,Tirrenopower Volla,6888.0,30.175268583042975,29.095789918034953,0.05,14.0,23.0,37.5,949.0
Napoli,pm25 µg/m³,IT0898A,17079.0,15.403961004742666,21.737165145208476,0.0,8.0,12.9,19.2,1460.0
Napoli,pm25 µg/m³,NA06 MUSEO NAZIONALE,4318.0,15.721769337656324,37.5271557105572,0.0,7.9,12.7,19.7,2350.0
Napoli,pm25 µg/m³,NA09 I.T.I.S. ARGINE,22726.0,19.46100501628091,19.4702596967186,0.0,9.5,15.2,23.6,886.0
Napoli,pm25 µg/m³,Tirrenopower Via Epomeo,6798.0,10.562202118270081,10.814854411206948,0.0,5.71,8.605,13.0,663.0
Napoli,pm25 µg/m³,Tirrenopower Volla,6888.0,16.782983449477353,21.81186441595828,0.04,7.02,11.7,19.5,825.0
Palermo,no2 µg/m³,PA - Belgio,5232.0,33.977226681957184,23.780434903544382,1.49,15.5,26.6,48.1,135.0
Palermo,no2 µg/m³,PA - Boccadifalco,5244.0,10.557646546529368,11.62155746176555,-1.0,2.4,6.29,14.7,96.9
Palermo,no2 µg/m³,PA - Castelnuovo,5183.0,36.22553540420606,21.248082832622668,-1.0,19.8,31.6,49.5,132.0
Palermo,no2 µg/m³,PA - Di Blasi,5374.0,50.66263676963156,22.677780292407135,-1.0,34.4,47.6,64.8,157.0
Palermo,no2 µg/m³,PA - Indipendenza,5180.0,29.716557142857145,19.09304411653243,-1.0,15.9,25.8,39.5,121.0
Palermo,no2 µg/m³,PA - UNIPA,5296.0,14.37540972432024,14.44634649759855,-1.0,4.64,9.11,19.0,102.0
Palermo,o3 µg/m³,PA - Boccadifalco,4853.0,66.23173294869153,17.62414424159474,-1.0,58.1,68.0,77.8,124.0
Palermo,o3 µg/m³,PA - UNIPA,5419.0,68.85313711016794,23.853126192134592,-1.0,53.0,72.6,87.3,133.0
Roma,no2 µg/m³,ARENULA,28737.0,29.55510317708877,18.46543243336718,-1.0,15.0,25.0,40.0,147.0
Roma,no2 µg/m³,BUFALOTTA,29151.0,28.4075503413262,17.09986041908855,-1.0,16.0,24.0,36.0,119.0
Roma,no2 µg/m³,C.SO FRANCIA,29977.0,35.16067318277346,14.253822273810268,-1.0,25.0,34.0,44.0,120.0
Roma,no2 µg/m³,CINECITTA,22154.0,24.735104270109236,17.79088355938884,-1.0,11.0,20.0,35.0,239.0
Roma,no2 µg/m³,CIPRO,66466.0,29.379735503866637,16.760939165465054,-1.0,17.0,25.0,38.0,121.0
Roma,no2 µg/m³,FERMI,8660.0,37.729676674364896,22.566886564658414,-1.0,22.0,33.0,50.0,125.0
Roma,no2 µg/m³,Fermi,35994.0,43.48792854364616,22.383013462590256,0.0,26.0,39.0,57.0,301.0
Roma,no2 µg/m³,IT0825A,5669.0,34.20021167754454,12.171076463651378,4.0,25.0,33.0,42.0,100.0
Roma,no2 µg/m³,IT1176A,19272.0,27.097083852220837,19.029773770795487,1.0,12.0,22.0,38.0,363.0
Roma,no2 µg/m³,IT1835A,17657.0,30.201308263011835,17.934092290288078,1.0,17.0,26.0,39.0,240.0
Roma,no2 µg/m³,IT1906A,16997.0,31.30637759604636,18.32113444429024,1.0,17.0,28.0,42.0,188.0
Roma,no2 µg/m³,IT2012A,18620.0,16.5609291084855,14.188721383078267,1.0,6.0,12.0,23.0,133.0
Roma,no2 µg/m³,L.GO MAGNA GRECIA,34245.0,35.877222952255806,20.07667453711067,-3.0,22.0,32.0,46.0,203.0
Roma,no2 µg/m³,L.GO PERESTRELLO,30279.0,25.771623897750917,16.691311623695107,-1.0,13.0,22.0,35.0,148.0
Roma,no2 µg/m³,MALAGROTTA,9283.0,13.022083378218248,12.268035033009788,-1.0,5.0,9.0,18.0,99.0
